time,iso,open,high,low,close,tick_volume,spread
1699228800,2023-11-06T00:00:00+00:00,1987.35,1989.12,1977.47,1977.55,77247,4
1699315200,2023-11-07T00:00:00+00:00,1978.17,1978.27,1956.71,1968.97,158633,6
1699401600,2023-11-08T00:00:00+00:00,1969.06,1971.04,1947.44,1949.67,150695,6
1699488000,2023-11-09T00:00:00+00:00,1950.89,1965.64,1944.51,1957.3,170616,5
1699574400,2023-11-10T00:00:00+00:00,1958.16,1960.81,1933.06,1935.76,156491,5
1699747200,2023-11-12T00:00:00+00:00,1940.52,1940.69,1933.76,1940.29,1240,14
1699833600,2023-11-13T00:00:00+00:00,1940.25,1949.22,1931.6,1946.4,126023,6
1699920000,2023-11-14T00:00:00+00:00,1946.43,1970.87,1943.71,1962.4,138654,5
1700006400,2023-11-15T00:00:00+00:00,1962.43,1975.34,1955.37,1960.25,141804,5
1700092800,2023-11-16T00:00:00+00:00,1960.23,1987.91,1956.41,1982.47,132331,6
1700179200,2023-11-17T00:00:00+00:00,1982.47,1993.36,1978.53,1980.21,130852,6
1700352000,2023-11-19T00:00:00+00:00,1977.45,1978.67,1974.1,1974.49,2316,13
1700438400,2023-11-20T00:00:00+00:00,1974.49,1985.15,1965.4,1981.21,147320,6
1700524800,2023-11-21T00:00:00+00:00,1981.21,2007.53,1980.69,1999.25,163752,5
1700611200,2023-11-22T00:00:00+00:00,1999.24,2006.43,1986.86,1990.25,144001,5
1700697600,2023-11-23T00:00:00+00:00,1990.16,1998.52,1989.82,1994.05,39257,5
1700784000,2023-11-24T00:00:00+00:00,1994.07,2003.58,1991.45,2002.33,52211,6
1700956800,2023-11-26T00:00:00+00:00,2000.89,2003.09,2000.38,2002.24,1678,17
1701043200,2023-11-27T00:00:00+00:00,2002.24,2018.12,2001.69,2015.22,78105,6
1701129600,2023-11-28T00:00:00+00:00,2015.21,2044.47,2011.49,2044.35,76808,6
1701216000,2023-11-29T00:00:00+00:00,2044.4,2051.99,2035.42,2044.57,90708,6
1701302400,2023-11-30T00:00:00+00:00,2044.57,2047.25,2031.62,2040.06,82228,5
1701388800,2023-12-01T00:00:00+00:00,2040.13,2075.36,2033.91,2071.57,63758,5
1701561600,2023-12-03T00:00:00+00:00,2074.03,2134.17,2071.53,2117.23,2959,5
1701648000,2023-12-04T00:00:00+00:00,2117.53,2120.45,2020.13,2033.87,80515,5
1701734400,2023-12-05T00:00:00+00:00,2033.91,2041.17,2009.8,2018.87,74531,5
1701820800,2023-12-06T00:00:00+00:00,2018.87,2035.86,2018.67,2026.97,64088,5
1701907200,2023-12-07T00:00:00+00:00,2026.97,2039.94,2020.18,2028.0,62663,5
1701993600,2023-12-08T00:00:00+00:00,2028.09,2033.98,1994.58,2003.56,66036,5
1702166400,2023-12-10T00:00:00+00:00,2005.55,2007.51,2004.48,2007.02,1210,14
1702252800,2023-12-11T00:00:00+00:00,2007.12,2007.71,1975.78,1982.85,59589,5
1702339200,2023-12-12T00:00:00+00:00,1982.85,1996.68,1977.21,1982.44,49749,5
1702425600,2023-12-13T00:00:00+00:00,1982.44,2033.01,1973.0,2032.74,57291,5
1702512000,2023-12-14T00:00:00+00:00,2032.71,2047.9,2027.55,2035.47,72425,5
1702598400,2023-12-15T00:00:00+00:00,2035.57,2044.95,2015.48,2019.03,337239,5
1702771200,2023-12-17T00:00:00+00:00,2019.59,2020.11,2015.86,2017.42,4822,20
1702857600,2023-12-18T00:00:00+00:00,2017.46,2033.77,2016.01,2027.59,275949,9
1702944000,2023-12-19T00:00:00+00:00,2027.61,2047.03,2021.62,2040.89,308406,8
1703030400,2023-12-20T00:00:00+00:00,2040.87,2043.56,2036.59,2040.71,62008,16
1712707200,2024-04-10T00:00:00+00:00,2327.55,2352.38,2319.44,2335.61,143366,7
1712793600,2024-04-11T00:00:00+00:00,2335.57,2379.61,2325.77,2376.87,268679,7
1712880000,2024-04-12T00:00:00+00:00,2377.08,2431.47,2333.83,2342.86,353937,7
1713052800,2024-04-14T00:00:00+00:00,2358.73,2372.54,2346.85,2364.72,18127,7
