time,iso,open,high,low,close,tick_volume,spread
1712754000,2024-04-10T13:00:00+00:00,2327.55,2335.81,2319.44,2333.95,24767,7
1712757600,2024-04-10T14:00:00+00:00,2333.96,2352.38,2332.25,2346.3,31633,7
1712761200,2024-04-10T15:00:00+00:00,2346.3,2347.72,2330.04,2337.08,23017,7
1712764800,2024-04-10T16:00:00+00:00,2337.08,2340.82,2335.84,2337.25,13459,7
1712768400,2024-04-10T17:00:00+00:00,2337.24,2345.23,2325.84,2337.79,22490,7
1712772000,2024-04-10T18:00:00+00:00,2337.79,2341.0,2326.23,2327.51,12460,7
1712775600,2024-04-10T19:00:00+00:00,2327.52,2331.0,2327.23,2329.8,8292,7
1712779200,2024-04-10T20:00:00+00:00,2329.69,2334.21,2329.58,2333.56,3014,7
1712786400,2024-04-10T22:00:00+00:00,2331.95,2336.9,2331.95,2336.06,1913,7
1712790000,2024-04-10T23:00:00+00:00,2336.06,2337.29,2334.2,2335.61,2321,7
1712793600,2024-04-11T00:00:00+00:00,2335.57,2336.0,2333.37,2335.28,5300,7
1712797200,2024-04-11T01:00:00+00:00,2335.27,2342.29,2334.09,2340.7,11063,7
1712800800,2024-04-11T02:00:00+00:00,2340.7,2345.86,2339.53,2343.91,6682,7
1712804400,2024-04-11T03:00:00+00:00,2343.92,2346.91,2343.0,2343.99,5669,7
1712808000,2024-04-11T04:00:00+00:00,2343.98,2346.11,2341.53,2342.96,4627,7
1712811600,2024-04-11T05:00:00+00:00,2342.99,2344.6,2338.95,2341.99,6916,7
1712815200,2024-04-11T06:00:00+00:00,2342.0,2342.22,2333.91,2336.02,12670,7
1712818800,2024-04-11T07:00:00+00:00,2336.02,2340.78,2335.24,2336.45,14085,7
1712822400,2024-04-11T08:00:00+00:00,2336.46,2338.0,2325.77,2328.02,14488,7
1712826000,2024-04-11T09:00:00+00:00,2328.02,2335.21,2327.99,2330.83,11274,7
1712829600,2024-04-11T10:00:00+00:00,2330.85,2339.21,2330.75,2338.58,10536,7
1712833200,2024-04-11T11:00:00+00:00,2338.57,2339.69,2335.62,2337.26,10480,7
1712836800,2024-04-11T12:00:00+00:00,2337.26,2344.44,2331.75,2341.44,24041,7
1712840400,2024-04-11T13:00:00+00:00,2341.42,2347.46,2336.95,2343.3,25340,7
1712844000,2024-04-11T14:00:00+00:00,2343.34,2346.88,2332.36,2338.95,28733,7
1712847600,2024-04-11T15:00:00+00:00,2339.01,2345.56,2337.65,2344.71,15810,7
1712851200,2024-04-11T16:00:00+00:00,2344.76,2350.82,2342.73,2349.86,12660,7
1712854800,2024-04-11T17:00:00+00:00,2349.87,2357.27,2348.04,2356.28,14637,7
1712858400,2024-04-11T18:00:00+00:00,2356.27,2365.07,2355.72,2361.52,11851,7
1712862000,2024-04-11T19:00:00+00:00,2361.52,2374.64,2361.5,2372.82,9321,7
1712865600,2024-04-11T20:00:00+00:00,2372.83,2377.68,2371.41,2372.01,4686,7
1712872800,2024-04-11T22:00:00+00:00,2371.69,2379.61,2370.52,2374.01,4505,7
1712876400,2024-04-11T23:00:00+00:00,2374.01,2377.13,2373.97,2376.87,3305,7
1712880000,2024-04-12T00:00:00+00:00,2377.08,2379.19,2374.62,2378.76,4483,7
1712883600,2024-04-12T01:00:00+00:00,2378.77,2391.44,2378.77,2390.74,19265,7
1712887200,2024-04-12T02:00:00+00:00,2390.81,2395.43,2387.97,2390.52,14225,7
1712890800,2024-04-12T03:00:00+00:00,2390.53,2391.2,2383.01,2384.24,8752,7
1712894400,2024-04-12T04:00:00+00:00,2384.22,2387.1,2382.78,2384.22,5733,7
1712898000,2024-04-12T05:00:00+00:00,2384.22,2390.12,2383.45,2387.49,8103,7
1712901600,2024-04-12T06:00:00+00:00,2387.49,2395.2,2384.71,2395.12,12554,7
1712905200,2024-04-12T07:00:00+00:00,2395.12,2400.34,2392.86,2399.97,15573,7
1712908800,2024-04-12T08:00:00+00:00,2399.97,2400.65,2394.19,2396.72,12975,7
1712912400,2024-04-12T09:00:00+00:00,2396.75,2400.25,2393.38,2398.21,10516,7
