hypothesis,run_tag,mode,mode_id,geometry,window,window_from,window_to,role,trades,test_pnl,cumulative_r,win_rate_pct,sl_exits,tp_exits,timeout_exits,profit_factor,max_drawdown,max_drawdown_pct,expectancy,recovery_factor,avg_win,avg_loss,longest_loss_streak,on_tester_result,r_matches_report,research_line_present,history_quality,bars,ticks,entries_on_bar_open,experiment_id,accounting_source,mean_risk,money_implied_r,risk_source
ORIGINAL_sl2_tp4_h180_r0.01,v28_is90_ORIGINAL_sl2_tp4_h180_r0.01,V28_ORIGINAL,0,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,18,-229.41,-2.3075,38.89,1,0,17,0.4,229.41,2.29,-12.745,-0.91,21.6,-34.6,3,-2.307459309414131,True,True,100% real ticks,4320.0,3885441.0,True,V28-0001,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,98.47,-2.3297,open_lines
REVERSE_DIRECTION_sl2_tp4_h180_r0.01,v28_is90_REVERSE_DIRECTION_sl2_tp4_h180_r0.01,V28_REVERSE_DIRECTION,1,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,262,-144.81,-1.192,51.53,20,0,242,0.97,1425.15,13.7,-0.5527099236641222,-0.1,40.56,-44.26,6,-1.192019807083707,True,True,100% real ticks,4320.0,3885441.0,False,V28-0002,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,96.48,-1.5009,open_lines
REVERSE_TRIGGER_sl2_tp4_h180_r0.01,v28_is90_REVERSE_TRIGGER_sl2_tp4_h180_r0.01,V28_REVERSE_TRIGGER,2,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,259,-676.73,-7.092,47.49,20,0,239,0.88,1089.51,10.46,-2.612857142857143,-0.6,41.85,-42.83,7,-7.092000738928411,True,True,100% real ticks,4320.0,3885441.0,False,V28-0003,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,97.96,-6.9082,open_lines
REVERSE_BOTH_sl2_tp4_h180_r0.01,v28_is90_REVERSE_BOTH_sl2_tp4_h180_r0.01,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,18,189.93,1.8945,55.56,0,0,18,2.1,68.53,0.68,10.551666666666668,1.43,36.25,-21.57,3,1.894507726532079,True,True,100% real ticks,4320.0,3885441.0,True,V28-0004,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,100.19,1.8957,open_lines
LONG_ONLY_sl2_tp4_h180_r0.01,v28_is90_LONG_ONLY_sl2_tp4_h180_r0.01,V28_LONG_ONLY,4,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,12,1.11,0.0164,58.33,0,0,12,1.01,68.85,0.68,0.09250000000000001,0.01,21.91,-30.45,2,0.01635814401355623,True,True,100% real ticks,4320.0,3885441.0,True,V28-0005,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,99.79,0.0111,open_lines
SHORT_ONLY_sl2_tp4_h180_r0.01,v28_is90_SHORT_ONLY_sl2_tp4_h180_r0.01,V28_SHORT_ONLY,5,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,6,-230.52,-2.3241,0.0,1,0,5,0.0,230.52,2.31,-38.42,-0.91,0.0,-38.42,6,-2.324055408579178,True,True,100% real ticks,4320.0,3885441.0,True,V28-0006,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,98.3,-2.3451,open_lines
MACRO_ONLY_sl2_tp4_h180_r0.01,v28_is90_MACRO_ONLY_sl2_tp4_h180_r0.01,V28_MACRO_ONLY,6,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,613,-1289.54,-14.3638,49.59,51,1,561,0.91,1609.25,15.6,-2.1036541598694942,-0.78,41.22,-44.73,6,-14.36375633355233,True,True,100% real ticks,4320.0,3885441.0,False,V28-0007,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,95.95,-13.4397,open_lines
TRIGGER_ONLY_sl2_tp4_h180_r0.01,v28_is90_TRIGGER_ONLY_sl2_tp4_h180_r0.01,V28_TRIGGER_ONLY,7,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is90,2026.06.12,2026.09.10,is,351,-1122.68,-11.645,49.86,32,0,319,0.85,1786.6,17.29,-3.1985185185185188,-0.6,37.35,-43.52,7,-11.64504326071788,True,True,100% real ticks,4320.0,3885441.0,False,V28-0008,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,93.6,-11.9944,open_lines
ORIGINAL_sl2_tp4_h180_r0.01,v28_is180_ORIGINAL_sl2_tp4_h180_r0.01,V28_ORIGINAL,0,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is180,2026.03.14,2026.09.10,is,29,-783.9,-8.1249,31.03,5,0,24,0.17,783.9,7.84,-27.03103448275862,-0.95,17.78,-47.19,6,-8.1248671966234,True,True,100% real ticks,8640.0,7770189.0,True,V28-0009,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,94.34,-8.3093,open_lines
REVERSE_DIRECTION_sl2_tp4_h180_r0.01,v28_is180_REVERSE_DIRECTION_sl2_tp4_h180_r0.01,V28_REVERSE_DIRECTION,1,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 180}",is180,2026.03.14,2026.09.10,is,527,-25.73,0.2462,50.47,35,0,492,1.0,1939.83,17.59,-0.04882352941176471,-0.01,42.63,-43.54,8,0.2461850135058019,True,True,100% real ticks,8640.0,7770189.0,False,V28-0010,report (OnTester + Total Net Profit + deal reasons) + mean_risk from pass closes,100.39,-0.2563,open_lines
