time,iso,open,high,low,close,tick_volume,spread
1750629600,2025-06-22T22:00:00+00:00,3383.61,3388.92,3372.65,3379.05,6261,17
1750633200,2025-06-22T23:00:00+00:00,3379.05,3380.52,3371.29,3372.73,4345,17
1750636800,2025-06-23T00:00:00+00:00,3372.73,3373.59,3359.23,3365.6,7518,17
1750640400,2025-06-23T01:00:00+00:00,3365.6,3368.07,3351.84,3355.16,8575,17
1750644000,2025-06-23T02:00:00+00:00,3355.16,3364.84,3354.77,3361.49,5931,17
1750647600,2025-06-23T03:00:00+00:00,3361.47,3366.33,3360.38,3363.33,5018,17
1750651200,2025-06-23T04:00:00+00:00,3363.33,3364.94,3356.79,3358.46,3269,17
1750654800,2025-06-23T05:00:00+00:00,3358.46,3360.58,3346.98,3356.76,6365,17
1750658400,2025-06-23T06:00:00+00:00,3356.83,3359.84,3352.6,3357.59,5675,17
1750662000,2025-06-23T07:00:00+00:00,3357.59,3358.76,3351.62,3357.53,5509,17
1750665600,2025-06-23T08:00:00+00:00,3357.53,3362.3,3357.53,3361.84,5147,17
1750669200,2025-06-23T09:00:00+00:00,3361.84,3369.01,3361.61,3366.52,5626,17
1750672800,2025-06-23T10:00:00+00:00,3366.52,3368.2,3363.93,3367.72,3951,17
1750676400,2025-06-23T11:00:00+00:00,3367.82,3382.0,3367.82,3380.66,7112,17
1750680000,2025-06-23T12:00:00+00:00,3380.72,3381.01,3355.89,3360.37,8261,17
1750683600,2025-06-23T13:00:00+00:00,3360.44,3387.74,3359.87,3380.54,10743,17
1750687200,2025-06-23T14:00:00+00:00,3380.58,3386.69,3369.92,3386.43,11395,17
1750690800,2025-06-23T15:00:00+00:00,3386.43,3389.81,3384.52,3387.13,6761,17
1750694400,2025-06-23T16:00:00+00:00,3387.13,3393.5,3380.45,3389.82,8484,17
1750698000,2025-06-23T17:00:00+00:00,3389.82,3391.45,3375.51,3382.46,8723,17
1750701600,2025-06-23T18:00:00+00:00,3382.52,3387.84,3376.82,3378.62,6222,17
1750705200,2025-06-23T19:00:00+00:00,3378.55,3382.06,3375.56,3376.38,5518,17
1750708800,2025-06-23T20:00:00+00:00,3376.2,3377.27,3367.13,3368.99,3219,17
1750716000,2025-06-23T22:00:00+00:00,3368.89,3368.89,3350.38,3355.37,4836,17
1750719600,2025-06-23T23:00:00+00:00,3355.37,3357.37,3342.64,3344.17,5879,17
1750723200,2025-06-24T00:00:00+00:00,3344.24,3355.2,3333.11,3351.03,8321,17
1750726800,2025-06-24T01:00:00+00:00,3351.08,3354.31,3342.12,3347.7,8354,17
1750730400,2025-06-24T02:00:00+00:00,3347.7,3352.79,3345.87,3351.85,6010,17
1750734000,2025-06-24T03:00:00+00:00,3351.85,3357.82,3351.55,3352.43,4672,17
1750737600,2025-06-24T04:00:00+00:00,3352.43,3353.29,3347.03,3348.53,3703,17
1750741200,2025-06-24T05:00:00+00:00,3348.53,3348.72,3326.67,3332.01,7923,17
1750744800,2025-06-24T06:00:00+00:00,3332.01,3333.12,3316.03,3322.77,9811,17
1750748400,2025-06-24T07:00:00+00:00,3322.72,3331.66,3316.54,3329.7,8489,17
1750752000,2025-06-24T08:00:00+00:00,3329.61,3332.36,3324.63,3327.34,5974,17
1750755600,2025-06-24T09:00:00+00:00,3327.34,3328.72,3317.91,3318.57,5552,17
1750759200,2025-06-24T10:00:00+00:00,3318.57,3327.64,3318.51,3325.58,4545,17
