time,iso,open,high,low,close,tick_volume,spread
1767664200,2026-01-06T01:50:00+00:00,4440.83,4448.31,4439.85,4447.78,1137,10
1767664500,2026-01-06T01:55:00+00:00,4447.75,4452.35,4447.29,4450.68,1264,10
1767664800,2026-01-06T02:00:00+00:00,4450.63,4455.31,4448.81,4453.11,1294,10
1767665100,2026-01-06T02:05:00+00:00,4453.11,4457.79,4451.43,4457.55,1234,10
1767665400,2026-01-06T02:10:00+00:00,4457.51,4460.46,4456.72,4459.55,1309,10
1767665700,2026-01-06T02:15:00+00:00,4459.57,4459.63,4456.57,4457.96,824,10
1767666000,2026-01-06T02:20:00+00:00,4457.94,4460.1,4457.0,4459.87,778,13
1767666300,2026-01-06T02:25:00+00:00,4459.77,4460.78,4457.66,4460.39,746,10
1767666600,2026-01-06T02:30:00+00:00,4460.3,4461.16,4456.97,4458.73,1121,10
1767666900,2026-01-06T02:35:00+00:00,4458.73,4459.65,4452.31,4452.41,1091,10
1767667200,2026-01-06T02:40:00+00:00,4452.41,4453.82,4448.73,4453.54,1143,10
1767667500,2026-01-06T02:45:00+00:00,4453.58,4457.56,4453.23,4456.11,925,10
1767667800,2026-01-06T02:50:00+00:00,4456.11,4456.21,4452.81,4454.58,711,10
1767668100,2026-01-06T02:55:00+00:00,4454.61,4455.61,4451.85,4454.98,802,13
1767668400,2026-01-06T03:00:00+00:00,4454.97,4457.3,4454.21,4456.65,828,10
1767668700,2026-01-06T03:05:00+00:00,4456.65,4458.82,4454.96,4458.78,847,11
1767669000,2026-01-06T03:10:00+00:00,4458.78,4465.71,4458.72,4462.45,984,10
1767669300,2026-01-06T03:15:00+00:00,4462.45,4467.13,4462.03,4465.1,1138,10
1767669600,2026-01-06T03:20:00+00:00,4465.1,4467.89,4462.39,4467.54,1013,10
1767669900,2026-01-06T03:25:00+00:00,4467.54,4467.73,4463.45,4463.51,926,10
1767670200,2026-01-06T03:30:00+00:00,4463.53,4465.25,4463.04,4464.79,772,10
1767670500,2026-01-06T03:35:00+00:00,4464.56,4467.56,4464.43,4467.11,350,12
1767670800,2026-01-06T03:40:00+00:00,4467.12,4467.38,4464.86,4466.09,607,13
1767671100,2026-01-06T03:45:00+00:00,4466.09,4467.72,4465.52,4465.88,576,10
1767671400,2026-01-06T03:50:00+00:00,4465.88,4467.22,4464.59,4466.77,430,10
1767671700,2026-01-06T03:55:00+00:00,4466.77,4468.09,4466.37,4467.65,439,13
1767672000,2026-01-06T04:00:00+00:00,4467.65,4467.65,4465.25,4466.51,497,13
1767672300,2026-01-06T04:05:00+00:00,4466.44,4466.45,4464.68,4465.41,345,13
1767672600,2026-01-06T04:10:00+00:00,4465.41,4468.65,4465.24,4465.75,581,10
1767672900,2026-01-06T04:15:00+00:00,4465.63,4467.48,4463.34,4465.83,733,10
1767673200,2026-01-06T04:20:00+00:00,4465.83,4466.84,4465.05,4465.09,564,10
1767673500,2026-01-06T04:25:00+00:00,4465.01,4465.37,4463.45,4464.82,534,10
1767673800,2026-01-06T04:30:00+00:00,4464.84,4466.3,4464.78,4465.78,410,10
1767674100,2026-01-06T04:35:00+00:00,4465.78,4466.05,4465.0,4466.02,389,13
1767674400,2026-01-06T04:40:00+00:00,4466.02,4466.21,4462.12,4462.81,660,10
1767674700,2026-01-06T04:45:00+00:00,4462.83,4466.39,4462.7,4466.09,546,10
1767675000,2026-01-06T04:50:00+00:00,4466.09,4467.5,4465.82,4467.22,525,10
1767675300,2026-01-06T04:55:00+00:00,4467.23,4468.32,4466.7,4467.46,644,13
1767675600,2026-01-06T05:00:00+00:00,4467.28,4469.38,4467.0,4468.97,711,10
1767675900,2026-01-06T05:05:00+00:00,4468.95,4469.66,4467.54,4467.77,746,13
1767676200,2026-01-06T05:10:00+00:00,4467.73,4469.25,4467.4,4467.45,746,12
1767676500,2026-01-06T05:15:00+00:00,4467.45,4470.08,4466.97,4468.78,711,10
1767676800,2026-01-06T05:20:00+00:00,4468.79,4469.62,4468.04,4468.16,658,13
1767677100,2026-01-06T05:25:00+00:00,4468.15,4470.88,4467.68,4469.78,784,10
1767677400,2026-01-06T05:30:00+00:00,4469.71,4474.24,4469.58,4471.28,1222,10
1767677700,2026-01-06T05:35:00+00:00,4471.32,4471.89,4463.42,4463.66,987,10
1767678000,2026-01-06T05:40:00+00:00,4463.63,4466.04,4461.76,4463.13,1370,10
1767678300,2026-01-06T05:45:00+00:00,4463.15,4464.69,4457.78,4459.77,1148,10
1767678600,2026-01-06T05:50:00+00:00,4459.87,4460.18,4454.84,4455.68,1162,10
1767678900,2026-01-06T05:55:00+00:00,4455.73,4456.0,4449.33,4452.24,1335,10
1767679200,2026-01-06T06:00:00+00:00,4452.7,4456.8,4451.67,4455.27,1047,10
1767679500,2026-01-06T06:05:00+00:00,4455.48,4456.85,4451.89,4455.82,1043,10
1767679800,2026-01-06T06:10:00+00:00,4455.83,4458.35,4455.62,4456.98,796,10
1767680100,2026-01-06T06:15:00+00:00,4456.98,4459.03,4455.59,4457.94,823,10
1767680400,2026-01-06T06:20:00+00:00,4457.97,4458.7,4456.12,4458.1,866,10
